rtt_bin,protocol,mean_download_time,readings
50-75,FTP,4.982090461538462,104
50-75,HTTP,4.230907673076923,104
50-75,HTTPS,4.358930932692308,104
75-100,FTP,6.121939278350516,97
75-100,HTTP,4.551418618556701,97
75-100,HTTPS,4.681461,97
100-125,FTP,6.078918523809524,21
100-125,HTTP,4.587868904761905,21
100-125,HTTPS,4.558953523809524,21
125-150,FTP,7.672942989247312,93
125-150,HTTP,5.9352014301075275,93
125-150,HTTPS,6.007194494623656,93
150-175,FTP,7.676239222222222,36
150-175,HTTP,6.118939861111111,36
150-175,HTTPS,6.0962880833333335,36
175-200,FTP,6.615923333333334,3
175-200,HTTP,5.4411320000000005,3
175-200,HTTPS,5.779138,3
200-225,FTP,8.454722,2
200-225,HTTP,7.8118525,2
200-225,HTTPS,7.249561,2
225-250,FTP,7.089154,1
225-250,HTTP,5.591733,1
225-250,HTTPS,5.915094,1
250-500,FTP,6.627910666666668,3
250-500,HTTP,5.260732666666667,3
250-500,HTTPS,6.659684666666666,3
