rtt_bin,protocol,mean_download_time,readings
125-150,FTP,16.303447916666666,132
125-150,HTTP,14.819614,132
125-150,HTTPS,14.724905290076336,131
150-175,FTP,17.506259122807016,114
150-175,HTTP,15.512114385964912,114
150-175,HTTPS,15.858155745614035,114
175-200,FTP,24.887215,1
175-200,HTTP,21.687167,1
175-200,HTTPS,22.834619,1
200-225,FTP,42.974904495412844,109
200-225,HTTP,35.59799906422018,109
200-225,HTTPS,58.27242575229358,109
225-250,FTP,51.176739999999995,4
225-250,HTTP,38.65530175,4
225-250,HTTPS,43.741052499999995,4
